date,title,sentiment,description
2006-12-04,Hedge Funds Face Pressure To Reform,0.06041666666666665,"Hedge funds are heading into a rough few weeks. Many funds are looking at some pretty average returns this year--and if that's not bad enough--the industry faces U.S. Congressional hearings starting tomorrow on regulations and insider trading.William Galvin is Secretary of the Commonwealth of Massachusetts. Tom Curran is a securities lawyer and partner with Ganfer and Shore. Both men appeared on ""Street Signs"" and have different opinions on what needs--or doesn't need--to be done with hedge funds.Galvin says hedge funds are marketed to people who shouldn't be investing in them. And he says there should be minimum investments and the funds should be registered. He said there needs to be total transparency when it comes to hedge funds.Curran is completely on the other side--saying there is no need for minimum investments. He said Congress should proceed cautiously on hedge funds--considering the role they play in the U.S. economy. He said there are a lot of myths when it comes to hedge funds--and that the criticism is over blown. FYI: There are some 9,228 hedge funds with nearly $1.3 trillion dollars invested in them."
2006-12-26,U.S. Treasurys Higher in Reversal of Sell-Off,0.07840195105820105,"U.S. Treasurys prices were modestly higher in extremely quiet trading, in a partial reversal of Friday's sell-off.With very little economic data to speak of, ""activity is somewhat subdued"" and ""liquidity is definitely impaired,"" said Jason Evans, head of government trading for Deutsche Bank.The price of the Treasury's 10-year note was up around midday, while its yield fell from Friday's level, when trading desks closed early ahead of the Christmas holiday. Prices and yields move in opposite directions.A manufacturing and economic activity report from the Federal Reserve Bank of Richmond released Tuesday morning came in at negative 6 versus November's 7. However, the data failed to move the market in any noticeable way.The real surprise in the market was Friday's sell-off, Evans said. Friday's data _ and in particular the core personal consumption expenditures price index, a key measure of inflation _ were on the tamer side. Compared with a year earlier, the core PCE price index rose 2.2% in November from a year earlier, down from a 2.4% year-over-year climb in October.However, despite what should have been bond-friendly data, the Treasurys market sold off heavily, largely on profit-taking.The sell-off Friday ""occurred on relatively light volume,"" Evans said, ""and the market is ... in recovery.""Hedge funds were in the market buying 10-year Treasurys Tuesday, with good buying by money managers in five-year Treasurys as well, according to RBS Greenwich Capital.As for the remainder of the week, ""we are rather neutral,"" RBS Greenwich noted in market commentary."
2006-12-27,Dollar Down but Pares Losses,0.05378320239431351,"The dollar was largely down against other major currencies, although a surprisingly strong rise in new home sales helped the dollar reverse some of its losses.The government reported that new home sales beat expectations and rose 3.4 percent in November to an annual pace of 1.047 million units, which eased concerns about the extent of the housing market's slowdown and tempered expectations that the Federal Reserve could cut interest rates early next year to stimulate growth.""The new home sales report did beat the consensus forecast, and that, I think, provides further evidence to support the view that the worst of the housing downturn may have passed,"" said Alex Beuzelin, senior market analyst for Ruesch International in Washington, D.C.With the European Central Bank widely expected to keep raising rates and the Bank of Japan possibly discussing tighter monetary policy at its meeting in January, the dollar slipped as investors returned from the Christmas holiday with more conviction that the U.S. currency's yield advantage will fade next year.Data showing weaker-than-expected Japan retail sales was overshadowed by a media report that the Bank of Japan will probably discuss raising interest rates at next month's policy meeting.Currency trading in Asia was disrupted after strong earthquakes near Taiwan damaged undersea telecommunications cables, restricting international telephone traffic and Internet speeds, but trade in the North American markets was not affected.U.S. benchmark Treasury note prices, meanwhile, were off almost a full point on the day at 99 27/32, bringing yields up to 4.64%, taking their lead from a fall in European government bond prices and the stronger housing data."
2007-03-16,"China to Rein in Bank Lending, Ballooning Surplus",0.033281492170381066,"China will take steps to contain a renewed burst in bank lending and a larger-than-expected rise in the country's controversial trade surplus last month, senior officials said on Friday. Speaking on the sidelines of a annual parliamentary session, which ends on Friday, central bank governor Zhou Xiaochuan said the authorities would place further controls on bank lending.""From a commercial perspective, it is understandable for the banks to lend aggressively at the beginning of the year,"" Zhou told reporters. ""But from a macro perspective, after serious study, we decided to place further controls (on it),"" he said. He did not offer any timeframe. Lending data released this week reinforced concern that banks, awash with cash, may fund a new round of speculative investment. Lending surged by 413.8 billion yuan in February, compared with an increase of 149.1 billion yuan in February 2006. Separately, Commerce Minister Bo Xilai said the nation's trade surplus had been ""too large"" in February and reaffirmed that Beijing planned new steps to trim exports and step up imports. China on Monday reported its second-biggest monthly trade surplus on record, dwarfing forecasts and handing fresh ammunition to critics who say Beijing is giving its exporters an unfair edge by holding down the yuan. The surplus for February ballooned to $23.76 billion, with exports leaping 51.7% from a year earlier. ""We are also very nervous about that,"" Bo said of the size of February's surplus. ""We're seriously studying the whole situation to find the underlying reasons."" One reason for the surge was a propensity among Chinese firms to ship their goods out of the country to prevent them from being penalized by possible policy changes, he said. The Commerce ministry would make appropriate adjustments to the export tax rebate system, paying special attention to the area of processing trade as that generated the biggest portion of the surplus, Bo told reporters, without giving details. Zhou also said the authorities were keeping a wary eye on inflation, which he said had been running too high. Asked whether the central bank would raise interest rates soon, Zhou said they were seriously studying the inflation situation and would take ""appropriate measures""."
2007-04-16,Is Goldilocks Getting Wrinkles?,0.1371666666666667,"A market expert told CNBC that the Goldilocks economic scenario is getting a little long in the tooth and is especially concerned with the financial sector, which may show cracks in the façade this week.""The stock market is overvalued,"" said Richard Suttmeier, chief market strategist at RightSide.com. ""I'm viewing this as another opportunity for investors to lighten up on positions.""Suttmeier said he was particularly worried about the financial sector. ""Sure, some of the financial stocks are rallying, but that's because they're coming off pretty much near 52-week lows,"" he said.But Charles Lieberman, chief investment officer at Advisors Capital Management, said the market has a lot further to go.""I think those sectors are actually very interesting to buy because they are at lows,"" said Lieberman. ""They haven't participated in the rally.""Lieberman highlighted the current economic environment of moderate growth, low interest rates and ""just so much liquidity you have to use all of the fingers of your hand to count up the deals.""'The conditions are really idyllic for a market advance,"" Lieberman said.But Suttmeier said this ""Goldilocks"" economic outlook was no longer relevant.""I think Goldilocks is getting wrinkles,"" he said. ""It's an old scenario, now we're in a situation where we're seeing inflation above the Fed's target range, and we're seeing that the distress in the banking system.""Suttmeier predicted that warnings signs are likely to appear this week when more than 60 community and regional banks are set to report.""They're going to tell us that they're having an increase in 90-day loans and noncurrent loans and that is going to be a problem,"" he said."
2007-05-09,"The Word On Buyout Speculation, Consolidation In Steel...",0.22068965517241385,"RUMORS GONE WILDThe headline: Of 130 Buyout Rumors Since December, Only 4 Have Panned Out (source: StreetAccount)The word: Jeff Macke says speculation and rumors are part of the Wall Street game. They always push stocks higher and traders need to be smart enough to separate fact from fiction.PEDAL TO THE METAL: The headline(s):- Alcoa (AA) , AK Steel (AKS) Buyout Speculation Fueling Red-Hot Metals Trade- Steelmaker Arcelor Mittal (MT) May Make $4.5B Bid For AK Steel, FT Reports.- Alcoa Makes $26.9B Bid For Alcan(AL) But May Too Be Bought The word: Eric Bolling says consolidation in the space is a big trend right now and he expects it to continue. Guy Adami recommends investors own Commercial Metals Company (CMC) on a dip, because it stands to benefit from the boom in non-residential building.THE WONDERFUL EARNINGS OF DISNEY: The headline: Walt Disney (DIS) Profit Rises As `Wild Hogs', TV Advertising Drives EarningsThe word: Jeff Macke says DIS had a great quarter and thinks this stock will continue to climb. He was particularly happy to hear that theme park attendance was up nearly everywhere.TESORO TRADE UPDATEThe Headline: Last Week Eric Bolling Recommends Buying Puts On TesoroThe word: Eric sold those 120-puts today. Now, he recommends buying TSO shares on the dip.A BUFFETT BUY? A Viewer Says Tyco (TYC) Would Be An Ideal Buyout Target For Warren Buffett Jason from Ohio writes “I think Buffett would pay over $60B and buy Tyco (TYC). It has everything, including a $40 per share break-up value! It has Buffett written all over it.”The word: Guy Adami says TYC should be a $41 stock. (It closed at $32.05 on Tuesday.) He thinks if the company spins off business units, the stock will do better.RIMM SHARES IN MOTION: The headline: Research In Motion (RIMM) Shares Surge As Analysts See Healthy Growth The word: Eric Bolling explains Karl Icahn doesn't have enough votes to obtain a seat on the board of Motorola (MOT), and that translates into upside for RIMM.  (In other words, investors believed that Icahn would have benefited MOT so much, they stayed away from RIMM, until they had a better idea of what was going to happen.)IT'S ALL ABOUT THE COLOGNE:The headline: P. Diddy's ""Unforgivable"" -- Distributed By Estee Lauder (EL) – Becomes Top-Selling Men's FragranceThe word: Jeff Macke says despite the success of this cologne, investors should not buy stock in Estee Lauder. They missed earnings by “a country mile.”Got something to say? Send us an e-mail at fastmoney-web@cnbc.com and your comment might be posted on the Rapid Recap! Prefer to keep it between us? You can still send questions and comments to .Trader disclosure: On May 8, 2007, the following stocks and commodities mentioned or intended to be mentioned on CNBC’s Fast Money were owned by the Fast Money traders Macke Owns (JWN); Bolling Owns (DIS), Gold, Silver; Bolling Is Short Nasdaq Futures, Bolling Closed Out His Tesoro Put Trade; CNBC Is A Service Of NBC Universal And Dow Jones"
2007-07-27,It's Time for the Lightning Round!,0.07411564625850342,"Pride International : This is a contract driller and a stock that Cramer likes in this market. “Let’s buy it.” American Software : It’s a fine tech company, Cramer said, but he’d rather go with names like Riverbed Technology , Cisco , Hewlett-Packard  or Dell . Peabody Energy : Even though oil is up, the government is not helping coal companies like Peabody, Cramer said. He has liked coal, but it’s not at the right level right now. Foundry Networks : “This happens to be another stock in the sweet spot,” Cramer said. He believes stocks like FDRY, which didn’t go down at all today, are going to work in this environment because they don’t need debt, they don’t have to do a leveraged buyout and they don’t need the domestic consumer.RPM International : “It’s not going to work, but it’s not going to hurt you either,” Cramer said. Anadigics : If you look, you’ll see that most tech stocks, including ANAD are at or close to a 52-week high. “I can hold on to that,” Cramer said. Applied Materials : A company with low valuation and a lot of cash, and it’s moving into solar. Cramer predicts one down and three up for AMAT, which to him says “buy, buy, buy.” Immersion : Immersion has never made anyone money, Cramer said. Sell it. Cumulus Media : It’s been straight down since it announced it would be bought out on Monday, Cramer said. “I need you out of Cumulus.” Intel : Intel is one of the reasons why Cramer is so bullish on Dell and Hewlett-Packard, as they are big buyers of Intel chips. That being said, Cramer would “rather see you out of Intel and into Hewlett-Packard.” Pfizer : “Pfizer doesn’t have it,” Cramer said. He would swap out of PFE and buy some Schering-Plough . IHOP : It was a buy on the merger with Applebee’s , Cramer said, but now he’d take the gain. “It’s in the wrong group.” Jim’s charitable trust owns Hewlett-Packard.Questions for Cramer? Questions, comments, suggestions for the Mad Money website? madcap@cnbc.com"
2007-08-16,In The Red For '07,0.03918300653594771,"IN THE RED FOR '07The headline: Stock Market Rolls Over Today on Credit Crisis, Erasing S&P 500's Gain For the Year.Dylan Ratigan explains that the S&P 500 is down 6.1% over 5 days. It’s the biggest drop since January 2003. Also, he says, with the Dow below 13,000; it’s down more than 1,000 points from a record high set in July.Jeff Macke says the last hour of trading has become a dangerous hour lately, because traders don’t want to hold stocks overnight.COUNTRY FRIED FINANCIAL:The headline: Countrywide (CFC) Plummets 13% On Merrill Downgrade, Bankruptcy Speculation; Pete Najarian says the Countrywide sell-off worsened on reports of a significant jump in its borrowing costs. Pete also says options volume suggests to him that CFC has further to drop.  Pete tells the panel he’s short CFC.On a related note, Pete Najarian says the bank stocks rolled over Wednesday as countrywide plummeted. If Goldman Sachs and Morgan Stanley are having problems, it will likely ripple through the entire space, says Pete. He sees a lot of put buying in the Financial Select Sector SPDR(XLF).Finally, Pete recommends investors buy the volatility. In other words if you buy stock in this environment, buy a put spread as protection.Guy Adami adds that Warren Buffett sees something in Bank of America (BAC). Guy suggests that BAC might not have much exposure to the subprime slime.Tim Seymour reveals he bought materials companies today. He also says that as liquidity dries up, the dollar benefits. Consequently, he recommends buying CurrencyShares Canadian Dollar Trust (FXC).AFTER HOURS ACTION:  AMGEN AFTER HOURS: The headline: Amgen (AMGN), the Biggest Biotech, Rises After Hours On Job Cut Plans; Pete Najarian explains that the pop stems from an announcement that Amgen intend to reduce its work force by as much as 14%. On a related note, Pete doesn’t feel the stock will move until late 2008.DEERE IN THE SPOTLIGHT: The headline: Ag Trade Still Going Strong As Deere (DE) Reports 23% Surge In Profit; Guy Adami says Deere & Co. beat earnings, but the news was swept under the carpet because of the distress in the market. BUFFETT'S DOW WOW: The headline: Berkshire Hathaway (BRK) Bought 3% Stake In Dow Jones (DJ) In Winning Bet On News Corp. Takeover; Dylan Ratigan corrects an error made on the show Tuesday. He says a 2-for-1 stock split caused Berkshire's Nike (NKE) holdings to double; Buffett may not have changed his stake. He adds that Buffett did not disclose his stake in Union Pacific.______________________________________________________Got something to say? Send us an e-mail at fastmoney-web@cnbc.com and your comment might be posted on the Rapid Recap! Prefer to keep it between us? You can still send questions and comments to .Trader disclosure: On Aug 152007, the following stocks and commodities mentioned or intended to be mentioned on CNBC’s Fast Money were owned by the Fast Money Macke Owns (EMC), (JWN) Najarian Is Short (CFC), (GS), Seymour Owns (X), (EEM),  Seymour Is Short (LEH), Red Star Asset Management Owns (MBT), Red Star Asset Management Is Short (EEM)"
2007-09-04,"Congress, White House: Up For Late Summer Fight?",0.05667903525046384,"Summer isn't over yet, but the languid pace that has prevailed in Washington since Congress left town in August has now definitively vanished. On every front, the White House and Congress, Republicans and Democrats, are girding for political action that will unfold rapidly with its ultimate consequences uncertain.Let's look at the most important points of engagement: --The elephant in the room: the Iraq war. This is President Bush's top priority and there's no close second. Facing resistance from Congressional Democrats, Bush sought a momentum boost with his surprise visit to Iraq in advance of Gen. David Petraeus' testimony on the troop surge in Washington next week. Bush and even some Democrats see signs of military progress; Democratic leaders said the US military commitment isn't leading to political reconciliation that would allow troops to come home. --The new wild card: the economy. When you have a single issue stirring fear and anxiety among hedge fund markets, pension fund investors, and moderate-income homeowners, there's potential for a powerful political reaction. That's what the mortgage mess has produced. Bush responded last week with his limited assistance proposals, while Democrats want more -- including potential cash bailouts. This may be one area where Democratic and Republican choose to work together. --The old battle: taxes and spending. Republicans bruised by the unpopularity of Iraq and scandal drama (see: Craig, Larry) are spoiling to battle Democrats over one of their familiar themes. That's what Bush is threatening to veto spending bills from the Democratic Congress, and almost certainly would do the same if Democrats could muster the votes to raise taxes on private equity. The GOP badly needs to reclaim the tax-spending brand. --The backdrop: the 2008 elections. The campaign trail has almost supplanted Washington as the focus of national attention already. And that trend will only increase. A Wednesday night debate in New Hampshire will showcase the tightrope Republican candidates have to walk between distancing themselves from an unpopular White House and building support among the Republican base. The next morning, the new Republican candidate, Fred Thompson will enter the race in Iowa (having appeared on ""The Tonight Show with Jay Leno"" on the same night of that GOP debate). Can Thompson be the Reagan heir in the race? and can Barack Obama sharpen his change message enough to win a change election against Hillary Clinton in the Democratic primary? I travel to Iowa this afternoon to see both candidates. And I will blog on what I see. Questions?  Comments?  Write to politicalcapital@cnbc.com."
2007-09-12,"Chinese Retail Sales Surge, Partly on Inflation",0.20686507936507936,"China's retail sales growth surged in August to its quickest pace in more than three years, beating forecasts, but analysts said the jump largely reflected stronger inflation, not necessarily quicker underlying growth. Retail sales, which are tracked in nominal terms, grew 17.1% from a year earlier, compared with 16.4% in July. The uptick roughly tracked a rise in annual consumer inflation in August to 6.5%, from 5.6% in July. ""Retail sales growth is obviously strong. The problem is that the figures are being pushed up by the rising inflation as well. So actually, on a real basis, I don't think there's much of an acceleration,"" said Paul Cavey, an economist with Macquarie Securities in Hong Kong. August's pace, the quickest since May 2004, beat economists' expectations of a 16.5% rise. Consumer inflation data, released on Tuesday, also surprised on the upside. Beijing would welcome an increase in real buying activity by the country's consumers. It is trying to tilt its economy away from what economists call an unsustainable reliance on exports -- to the tune of 40% of national output. Not only does China's gaping trade surplus -- it hit $25 billion in August -- contribute to tensions with its major trading partners, it also exposes it more to any downturn in the United States or other economies. Cavey said that a lynchpin of Beijing's efforts to spur spending would be their effectiveness in the countryside, and that a recent epidemic among pigs was likely to blunt growth in spending there this year. ""We will expect retail sales growth to continue to be strong next year as the countryside gets over all this,"" he said. In the details, the retail sales data suggested a significant impact from the recent spike in food price inflation. Sales of grain and edible oils and meat, eggs and poultry, two of the categories where price rises have been most striking, rose 44% and 45.2%, respectively. Still, Lin Songli, senior economist at Guosen Securities in Beijing, said the figures showed that consumption was starting to take up a greater role in driving the world's fastest-growing major economy. ""Consumption growth has not reached its peak yet, and we are now expecting even higher growth rates in coming months,"" Lin said."
